id,bookname,category,genre,author,publisher,yearpublished,isbn,edition,price
1,Beowulf, fiction,,"Unknown, Seamus Heaney",HarperCollins Publishers,1975,,,4.88
2,Batman: Year One, fiction,,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",HarperCollins Publishers,1987,,,1.99
3,Go Set a Watchman, fiction,,Harper Lee,"Amazon Digital Services,  Inc.",2015,,,8.69
4,When You Are Engulfed in Flames,fiction,,David Sedaris,Hachette Book Group,2008,,,7.5
5,Daughter of Smoke & Bone, fiction,,Laini Taylor,Penguin Group (USA) LLC,2011,,,7.99
6,Red Queen, fiction,,Victoria Aveyard,"Amazon Digital Services,  Inc.",2015,,,4.99
7,The Power of Habit, fiction,,Charles Duhigg,HarperCollins Publishers,2011,,,6.99
8,Midnight in the Garden of Good and Evil,nonfiction,,John Berendt,Hachette Book Group,1994,,,6.89
9,Hopeless, fiction,,Colleen Hoover,HarperCollins Publishers,2012,,,6.99
10,A Little Princess, fiction,,"Frances Hodgson Burnett, Nancy Bond",Random House LLC,1905,,,6.49
11,The Truth About Forever, fiction,,Sarah Dessen,"Amazon Digital Services,  Inc.",2004,,,4.99
12,The horse and his boy,fiction,,C.S. Lewis,Penguin Group (USA) LLC,1954,,,5.99
13,Last Sacrifice , fiction,,Richelle Mead,"Amazon Digital Services,  Inc.",2010,,,0.99
14,Little House on the Prairie, fiction,,"Laura Ingalls Wilder, Garth Williams",HarperCollins Publishers,1935,,,1.99
15,The Velveteen Rabbit, fiction,,"Margery Williams Bianco, William   Nicholson",Random House LLC,1922,,,6.54
16,Zen and the Art of Motorcycle Maintenance, fiction,,Robert M. Pirsig,"Amazon Digital Services,  Inc.",1974,,,4.99
17,The War of the Worlds, fiction,,"H.G. Wells, Arthur C. Clarke","Amazon Digital Services,  Inc.",1897,,,4.99
18,Pretty Little Liars, fiction,,Sara Shepard,"Amazon Digital Services,  Inc.",2006,,,4.99
19,Corduroy, fiction,,Don Freeman,Simon and Schuster Digital Sales Inc,1948,,,1.99
20,The Omnivore's Dilemma, fiction,,Michael Pollan,"Amazon Digital Services,  Inc.",2006,,,0.99
21,Life After Life, fiction,,Kate Atkinson,"Amazon Digital Services,  Inc.",2013,,,3.99
22,The Rescue, fiction,,Nicholas Sparks,"Amazon Digital Services,  Inc.",2000,,,2.99
23,Needful Things, fiction,,Stephen King,"Amazon Digital Services,  Inc.",1991,,,0.99
24,Voyager, fiction,,Diana Gabaldon,"Amazon Digital Services,  Inc.",1993,,,2.99
25,Cujo, fiction,,Stephen King,"Amazon Digital Services,  Inc.",1981,,,2.99
26,The Virgin Suicides, fiction,,Jeffrey Eugenides,Penguin Group (USA) LLC,1993,,,10.91
27,Dead to the World, fiction,,Charlaine Harris,"Amazon Digital Services,  Inc.",2004,,,0.99
28,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,nonfiction,,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Hachette Book Group,1891,,,3.99
29,Madame Bovary, fiction,,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall","Amazon Digital Services,  Inc.",1856,,,3.99
30,The Phantom Tollbooth, fiction,,"Norton Juster, Jules Feiffer","Amazon Digital Services,  Inc.",1961,,,1.99
31,The Way of Kings, fiction,,Brandon Sanderson,"Amazon Digital Services,  Inc.",2010,,,0.99
32,Club Dead, fiction,,Charlaine Harris,HarperCollins Publishers,2003,,,5.99
33,It's Kind of a Funny Story,nonfiction,,Ned Vizzini,HarperCollins Publishers,2006,,,0.99
34,After You, fiction,,Jojo Moyes,"Amazon Digital Services,  Inc.",2015,,,0.99
35,The Language of Flowers, fiction,,Vanessa Diffenbaugh,"Amazon Digital Services,  Inc.",2011,,,0.99
36,Batman: The Dark Knight Returns, fiction,,"Frank Miller, Klaus Janson, Lynn Varley","Amazon Digital Services,  Inc.",1986,,,0.99
37,The Angel Experiment, fiction,,James Patterson,"Amazon Digital Services,  Inc.",2005,,,0.99
38,High Fidelity, fiction,,Nick Hornby,Random House LLC,1995,,,10.65
39,The Guardian, fiction,,Nicholas Sparks,"Amazon Digital Services,  Inc.",2003,,,0.99
40,Oryx and Crake, fiction,,Margaret Atwood,"Amazon Digital Services,  Inc.",2003,,,3.99
41,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships", fiction,,John Gray,"Amazon Digital Services,  Inc.",1998,,,1.99
42,Kitchen Confidential: Adventures in the Culinary Underbelly, fiction,,Anthony Bourdain,HarperCollins Publishers,2000,,,5.99
43,Timeline, fiction,,Michael Crichton,"Amazon Digital Services,  Inc.",1999,,,6.99
44,Candide, fiction,,Voltaire,"Amazon Digital Services,  Inc.",1759,,,4.99
45,Tuck Everlasting,nonfiction,,Natalie Babbitt,"Amazon Digital Services,  Inc.",1975,,,1.99
46,Christine,nonfiction,,"Stephen King, Marie Milpois","Amazon Digital Services,  Inc.",1983,,,0.99
47,Are You My Mother?, fiction,,P.D. Eastman,Penguin Group (USA) LLC,1960,,,5.99
48,The Story of Art, fiction,,E.H. Gombrich,Hachette Book Group,1950,,,8.59
49,Scarlet, fiction,,Marissa Meyer,"Amazon Digital Services,  Inc.",2013,,,0.99
50,"Rich Dad , Poor Dad", fiction,,Robert T. Kiyosaki,Random House LLC,1997,,,0.99
51,Silence , fiction,,Becca Fitzpatrick,"Amazon Digital Services,  Inc.",2011,,,4.99
52,The Magicians, fiction,,Lev Grossman,Macmillan,2009,,,0.99
53,A Great and Terrible Beauty, fiction,,Libba Bray,Penguin Group (USA) LLC,2003,,,2.99
54,Everything Is Illuminated, fiction,,Jonathan Safran Foer,"Amazon Digital Services,  Inc.",2002,,,0.99
55,The Bourne Supremacy, fiction,,Robert Ludlum,Penguin Group (USA) LLC,1986,,,10.91
56,Easy, fiction,,Tammara Webber,"Amazon Digital Services,  Inc.",2012,,,0.99
57,David Copperfield, fiction,,"Charles Dickens, Jeremy Tambling",Hachette Book Group,1849,,,11.39
58,The Absolutely True Diary of a Part-Time Indian, fiction,,"Sherman Alexie, Ellen Forney",Random House LLC,2007,,,6.49
59,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°, fiction,,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer","Amazon Digital Services,  Inc.",1967,,,3.99
60,A Wizard of Earthsea, fiction,,Ursula K. Le Guin,"Amazon Digital Services,  Inc.",1968,,,3
61,Because of Winn-Dixie, fiction,,"Kate DiCamillo, Chris Sheban","Amazon Digital Services,  Inc.",2000,,,0.99
62,A Separate Peace, fiction,,John Knowles,"Amazon Digital Services,  Inc.",1959,,,3.89
63,The Rainmaker, fiction,,John Grisham,"Amazon Digital Services,  Inc.",1995,,,7.99
64,Don Quijote de La Mancha, fiction,,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",Hachette Book Group,1605,,,8.99
65,Assassin's Apprentice, fiction,,Robin Hobb,"Amazon Digital Services,  Inc.",1995,,,1.99
66,The Restaurant at the End of the Universe, fiction,,Douglas Adams,Penguin Group (USA) LLC,1980,,,7.99
67,Torment, fiction,,Lauren Kate,"Amazon Digital Services,  Inc.",2010,,,3.99
68,The Tale of Peter Rabbit, fiction,,Beatrix Potter,Penguin Group (USA) LLC,1901,,,6.99
69,The Silver Chair, fiction,,"C.S. Lewis, Pauline Baynes",Hachette Book Group,1953,,,3.79
70,The Hero of Ages,nonfiction,,Brandon Sanderson,"Amazon Digital Services,  Inc.",2008,,,4.21
71,"Girl, Interrupted", fiction,,Susanna Kaysen,Hachette Book Group,1993,,,1.99
